Year,Round,DT,OverallPick,FrRnd,RoundPick,Team,Signed,Bonus,Name,Position,WAR,GamesBatted,AtBats,HomeRuns,Average,OPS,GamesPitched,Wins,Losses,ERA,WHIP,Saves,Type,DraftedFrom
2020,2,,57,FrRnd,20,Rays,Y,"$1,243,600 ",Ian Seymour (minors),P,,,,,,,,,,,,,4Yr,Virginia Polytechnic Institute and State University (Blacksburg VA)
2020,2,,58,FrRnd,21,Athletics,Y,"$1,000,000 ",Jeff Criswell (minors),P,,,,,,,,,,,,,4Yr,University of Michigan (Ann Arbor MI)
2020,2,,59,FrRnd,22,Twins,Y,"$900,000 ",Alerick Soularie (minors),OF,,,,,,,,,,,,,4Yr,University of Tennessee (Knoxville TN)
2020,2,,60,FrRnd,23,Dodgers,Y,"$712,500 ",Landon Knack (minors),P,,,,,,,,,,,,,4Yr,East Tennessee State University (Johnson City TN)
2020,2,,61,FrRnd,24,Marlins,N,,Kyle Nicolas (minors),P,,,,,,,,,,,,,4Yr,Ball State University (Muncie IN)
2020,2,,62,FrRnd,25,Tigers,Y,"$1,210,000 ",Daniel Cabrera (minors),OF,,,,,,,,,,,,,4Yr,Louisiana State University (Baton Rouge LA)
2020,2,,63,FrRnd,26,Cardinals,Y,"$1,115,000 ",Tink Hence (minors),P,,,,,,,,,,,,,HS,Watson Chapel HS (Pine Bluff AR)
2020,2,,64,FrRnd,27,Mariners,Y,"$1,050,300 ",Connor Phillips (minors),P,,,,,,,,,,,,,JC,McLennan Community College (Waco TX)
2020,2,,65,FrRnd,28,Reds,N,,Jackson Miller (minors),C,,,,,,,,,,,,,HS,J W Mitchell HS (New Port Richey FL)
2020,2,,66,FrRnd,29,Dodgers,N,,Clayton Beeter (minors),P,,,,,,,,,,,,,4Yr,Texas Tech University (Lubbock TX)
2020,2,,67,FrRnd,30,Giants,N,,Nick Swiney (minors),P,,,,,,,,,,,,,4Yr,North Carolina State University (Raleigh NC)
2020,2,,68,FrRnd,31,Giants,N,,Jimmy Glowenke (minors),SS,,,,,,,,,,,,,4Yr,Dallas Baptist University (Dallas TX)
2020,2,,69,FrRnd,32,Mets,Y,"$850,000 ",Isaiah Greene (minors),OF,,,,,,,,,,,,,HS,Corona HS (Corona CA)
2020,2,,70,FrRnd,33,Cardinals,Y,"$700,000 ",Alec Burleson (minors),OF,,,,,,,,,,,,,4Yr,East Carolina University (Greenville NC)
2020,2,,71,FrRnd,34,Nationals,Y,"$1,000,000 ",Sammy Infante (minors),SS,,,,,,,,,,,,,HS,Monsignor Edward Pace HS (Miami Gardens FL)
2020,2,,72,FrRnd,35,Astros,Y,"$1,250,000 ",Alex Santos (minors),P,,,,,,,,,,,,,HS,Mount St. Michael HS (Bronx NY)
2020,3,,73,FrRnd,1,Tigers,Y,"$900,000 ",Trei Cruz (minors),SS,,,,,,,,,,,,,4Yr,Rice University (Houston TX)
2020,3,,74,FrRnd,2,Orioles,N,,Anthony Servideo (minors),SS,,,,,,,,,,,,,4Yr,University of Mississippi (Oxford MS)
2020,3,,75,FrRnd,3,Marlins,N,,Zach McCambley (minors),P,,,,,,,,,,,,,4Yr,Coastal Carolina University (Conway SC)
2020,3,,76,FrRnd,4,Royals,Y,"$750,000 ",Tyler Gentry (minors),OF,,,,,,,,,,,,,4Yr,University of Alabama (Tuscaloosa AL)
2020,3,,77,FrRnd,5,Blue Jays,Y,"$847,500 ",Trent Palmer (minors),P,,,,,,,,,,,,,4Yr,Jacksonville University (Jacksonville FL)
2020,3,,78,FrRnd,6,Mariners,Y,"$575,000 ",Kaden Polcovich (minors),2B,,,,,,,,,,,,,4Yr,Oklahoma State University (Stillwater OK)
2020,3,,79,FrRnd,7,Pirates,N,,Nick Garcia (minors),P,,,,,,,,,,,,,4Yr,Chapman University (Orange CA)
2020,3,,80,FrRnd,8,Padres,Y,"$3,300,000 ",Cole Wilcox (minors),P,,,,,,,,,,,,,4Yr,University of Georgia (Athens GA)
2020,3,,81,FrRnd,9,Rockies,Y,"$755,300 ",Sam Weatherly (minors),P,,,,,,,,,,,,,4Yr,Clemson University (Clemson SC)
2020,3,,82,FrRnd,10,Angels,N,,David Calabrese (minors),OF,,,,,,,,,,,,,HS,St. Elizabeth Catholic HS (Thornhill ON)
2020,3,,83,FrRnd,11,White Sox,Y,"$50,000 ",Adisyn Coffey (minors),P,,,,,,,,,,,,,JC,Wabash Valley College (Mount Carmel IL)
2020,3,,84,FrRnd,12,Reds,Y,"$700,000 ",Bryce Bonnin (minors),P,,,,,,,,,,,,,4Yr,Texas Tech University (Lubbock TX)
2020,3,,85,FrRnd,13,Giants,N,,Kyle Harrison (minors),P,,,,,,,,,,,,,HS,De La Salle HS (Concord CA)
2020,3,,86,FrRnd,14,Rangers,Y,"$775,000 ",Tekoah Roby (minors),P,,,,,,,,,,,,,HS,Pine Forest HS (Pensacola FL)
2020,3,,87,FrRnd,15,Phillies,Y,"$1,300,000 ",Casey Martin (minors),SS,,,,,,,,,,,,,4Yr,University of Arkansas (Fayetteville AR)
2020,3,,88,FrRnd,16,Cubs,N,,Jordan Nwogu (minors),OF,,,,,,,,,,,,,4Yr,University of Michigan (Ann Arbor MI)
2020,3,,89,FrRnd,17,Red Sox,N,,Blaze Jordan (minors),3B,,,,,,,,,,,,,HS,DeSoto Central HS (Southaven MS)
2020,3,,90,FrRnd,18,D'backs,Y,"$800,000 ",Liam Norris (minors),P,,,,,,,,,,,,,HS,Green Hope HS (Cary NC)
2020,3,,91,FrRnd,19,Mets,Y,"$20,000 ",Anthony Walters (minors),SS,,,,,,,,,,,,,4Yr,San Diego State University (San Diego CA)
2020,3,,92,FrRnd,20,Brewers,Y,"$575,000 ",Zavier Warren (minors),C,,,,,,,,,,,,,4Yr,Central Michigan University (Mount Pleasant MI)
2020,3,,93,FrRnd,21,Cardinals,Y,"$575,000 ",Levi Prater (minors),P,,,,,,,,,,,,,4Yr,University of Oklahoma (Norman OK)
2020,3,,94,FrRnd,22,Nationals,Y,"$500,000 ",Holden Powell (minors),P,,,,,,,,,,,,,4Yr,University of California Los Angeles (Los Angeles CA)
2020,3,,95,FrRnd,23,Indians,N,,Petey Halpin (minors),OF,,,,,,,,,,,,,HS,St. Francis HS (Mountain View CA)
2020,3,,96,FrRnd,24,Rays,Y,"$585,000 ",Hunter Barnhart (minors),P,,,,,,,,,,,,,HS,St. Joseph HS (Santa Maria CA)
2020,3,,97,FrRnd,25,Braves,Y,"$497,500 ",Jesse Franklin (minors),OF,,,,,,,,,,,,,4Yr,University of Michigan (Ann Arbor MI)
2020,3,,98,FrRnd,26,Athletics,Y,"$300,000 ",Michael Guldberg (minors),OF,,,,,,,,,,,,,4Yr,Georgia Institute of Technology (Atlanta GA)
2020,3,,99,FrRnd,27,Yankees,N,,Trevor Hauver (minors),2B,,,,,,,,,,,,,4Yr,Arizona State University (Tempe AZ)
2020,3,,100,FrRnd,28,Dodgers,N,,Jake Vogel (minors),OF,,,,,,,,,,,,,HS,Huntington Beach HS (Huntington Beach CA)
2020,3,,101,FrRnd,29,Astros,Y,"$577,000 ",Ty Brown (minors),P,,,,,,,,,,,,,4Yr,Vanderbilt University (Nashville TN)
2020,4,,102,FrRnd,1,Tigers,Y,"$1,000,000 ",Gage Workman (minors),3B,,,,,,,,,,,,,4Yr,Arizona State University (Tempe AZ)
2020,4,,103,FrRnd,2,Orioles,N,,Coby Mayo (minors),3B,,,,,,,,,,,,,HS,Stoneman-Douglas HS (Parkland FL)
2020,4,,104,FrRnd,3,Marlins,N,,Jake Eder (minors),P,,,,,,,,,,,,,4Yr,Vanderbilt University (Nashville TN)
2020,4,,105,FrRnd,4,Royals,Y,"$450,000 ",Christian Chamberlain (minors),P,,,,,,,,,,,,,4Yr,Oregon State University (Corvallis OR)
2020,4,,106,FrRnd,5,Blue Jays,N,,Nick Frasso (minors),P,,,,,,,,,,,,,4Yr,Loyola Marymount University (Los Angeles CA)
2020,4,,107,FrRnd,6,Mariners,Y,"$500,000 ",Tyler Keenan (minors),3B,,,,,,,,,,,,,4Yr,University of Mississippi (Oxford MS)
2020,4,,108,FrRnd,7,Pirates,Y,"$60,000 ",Jack Hartman (minors),P,,,,,,,,,,,,,4Yr,Appalachian State University (Boone NC)
2020,4,,109,FrRnd,8,Padres,Y,"$80,000 ",Levi Thomas (minors),P,,,,,,,,,,,,,4Yr,Troy University (Troy AL)
2020,4,,110,FrRnd,9,Rockies,Y,"$450,000 ",Case Williams (minors),P,,,,,,,,,,,,,HS,Douglas County HS (Castle Rock CO)
2020,4,,111,FrRnd,10,Angels,N,,Werner Blakely (minors),SS,,,,,,,,,,,,,HS,Detroit Edison HS (Detroit MI)
2020,4,,112,FrRnd,11,White Sox,Y,"$10,000 ",Kade Mechals (minors),P,,,,,,,,,,,,,4Yr,Grand Canyon University (Phoenix AZ)
2020,4,,113,FrRnd,12,Reds,Y,"$512,400 ",Mac Wainwright (minors),OF,,,,,,,,,,,,,HS,St. Edward HS (Lakewood OH)
2020,4,,114,FrRnd,13,Giants,N,,R.J. Dabovich (minors),P,,,,,,,,,,,,,4Yr,Arizona State University (Tempe AZ)
2020,4,,115,FrRnd,14,Rangers,Y,"$1,200,000 ",Dylan MacLean (minors),P,,,,,,,,,,,,,HS,Central Catholic HS (Portland OR)
2020,4,,116,FrRnd,15,Phillies,Y,"$225,000 ",Carson Ragsdale (minors),P,,,,,,,,,,,,,4Yr,University of South Florida (Tampa FL)
2020,4,,117,FrRnd,16,Cubs,Y,"$492,700 ",Luke Little (minors),P,,,,,,,,,,,,,JC,San Jacinto College North Campus (Houston TX)
2020,4,,118,FrRnd,17,Red Sox,N,,Jeremy Wu-Yelland (minors),P,,,,,,,,,,,,,4Yr,University of Hawaii at Manoa (Honolulu HI)
2020,4,,119,FrRnd,18,D'backs,N,,A.J. Vukovich (minors),3B,,,,,,,,,,,,,HS,East Troy HS (East Troy WI)
2020,4,,120,FrRnd,19,Mets,Y,"$350,000 ",Matthew Dyer (minors),C,,,,,,,,,,,,,4Yr,University of Arizona (Tucson AZ)
2020,4,,121,FrRnd,20,Brewers,Y,"$150,000 ",Joey Wiemer (minors),OF,,,,,,,,,,,,,4Yr,University of Cincinnati (Cincinnati OH)
2020,4,,122,FrRnd,21,Cardinals,Y,"$800,000 ",Ian Bedell (minors),P,,,,,,,,,,,,,4Yr,University of Missouri (Columbia MO)
2020,4,,123,FrRnd,22,Nationals,Y,"$20,000 ",Brady Lindsly (minors),C,,,,,,,,,,,,,4Yr,University of Oklahoma (Norman OK)
2020,4,,124,FrRnd,23,Indians,N,,Milan Tolentino (minors),SS,,,,,,,,,,,,,HS,Santa Margarita Catholic HS (Rancho Santa Margarita CA)
